"","PercID","TargID","GroupID","known_either","FE_seen","FE_known","FE_verb","FE_num","FE_spat","FE_crea","FE_intra","FE_inter","FE_obs_verb","FE_obs_num","FE_obs_spat","FE_obs_crea","FE_obs_intra","FE_obs_inter","FE_humor","FE_attract","FE_symp","FE_STR","FE_LTR","FE_Match","FE_verb_acq","FE_num_acq","FE_spat_acq","FE_crea_acq","FE_intra_acq","FE_inter_acq","FE_obs_verb_acq","FE_obs_num_acq","FE_obs_spat_acq","FE_obs_crea_acq","FE_obs_intra_acq","FE_obs_inter_acq","FE_humor_acq","FE_attract_acq","FE_symp_acq","FE_STR_acq","FE_LTR_acq","FE_Match_acq"
"364","SD_2_03_M","SD_2_02_W",2,0,0,0,5,3,3,4,5,5,4,2,4,4,4,5,5,5,5,4,4,1,5,3,3,4,5,5,4,2,4,4,4,5,5,5,5,4,4,1
"365","SD_2_03_M","SD_2_03_W",2,0,0,0,5,4,4,5,4,4,5,2,3,4,3,5,4,5,5,3,5,1,5,4,4,5,4,4,5,2,3,4,3,5,4,5,5,3,5,1
"366","SD_2_03_M","SD_2_04_W",2,0,0,0,4,5,3,4,3,4,4,5,3,5,3,4,5,4,5,3,4,1,4,5,3,4,3,4,4,5,3,5,3,4,5,4,5,3,4,1
"367","SD_2_03_M","SD_2_05_W",2,0,0,0,5,4,4,3,4,5,5,4,5,2,5,5,5,5,5,2,5,1,5,4,4,3,4,5,5,4,5,2,5,5,5,5,5,2,5,1
"368","SD_2_03_M","SD_2_06_W",2,0,0,0,5,3,3,4,5,5,NA,2,1,4,5,5,5,5,5,3,5,1,5,3,3,4,5,5,NA,2,1,4,5,5,5,5,5,3,5,1
"369","SD_2_03_M","SD_2_07_W",2,0,0,0,5,4,3,5,4,5,4,3,1,3,4,5,5,5,5,4,4,1,5,4,3,5,4,5,4,3,1,3,4,5,5,5,5,4,4,1
"370","SD_2_03_M","SD_2_08_W",2,0,0,0,3,4,3,5,4,3,3,3,2,4,3,2,3,1,4,1,1,0,3,4,3,5,4,3,3,3,2,4,3,2,3,1,4,1,1,0
"371","SD_2_03_M","SD_2_09_W",2,0,0,0,4,4,3,5,4,4,3,2,4,4,3,4,4,4,4,4,3,1,4,4,3,5,4,4,3,2,4,4,3,4,4,4,4,4,3,1
"372","SD_2_03_M","SD_2_10_W",2,0,0,0,5,4,3,4,5,4,5,4,3,4,5,3,4,5,5,4,4,1,5,4,3,4,5,4,5,4,3,4,5,3,4,5,5,4,4,1
"373","SD_2_03_M","SD_2_11_W",2,0,0,0,5,3,3,2,4,4,4,2,2,2,4,3,3,4,4,3,3,0,5,3,3,2,4,4,4,2,2,2,4,3,3,4,4,3,3,0
"374","SD_2_03_M","SD_2_12_W",2,0,0,0,5,3,4,5,5,5,5,3,3,5,5,5,5,5,5,4,5,1,5,3,4,5,5,5,5,3,3,5,5,5,5,5,5,4,5,1
"375","SD_2_03_W","SD_2_01_M",2,0,0,0,3,2,2,4,2,3,2,4,3,3,2,3,3,2,2,1,1,0,3,2,2,4,2,3,2,4,3,3,2,3,3,2,2,1,1,0
"376","SD_2_03_W","SD_2_02_M",2,0,0,0,3,3,4,2,2,4,3,2,3,2,3,4,4,4,2,3,1,0,3,3,4,2,2,4,3,2,3,2,3,4,4,4,2,3,1,0
"377","SD_2_03_W","SD_2_03_M",2,0,0,0,3,4,4,3,4,3,2,3,2,2,3,2,3,2,4,1,1,0,3,4,4,3,4,3,2,3,2,2,3,2,3,2,4,1,1,0
"378","SD_2_03_W","SD_2_04_M",2,0,0,0,2,2,2,3,2,2,2,3,3,2,3,4,2,2,1,1,1,0,2,2,2,3,2,2,2,3,3,2,3,4,2,2,1,1,1,0
"379","SD_2_03_W","SD_2_05_M",2,0,0,0,4,3,4,3,3,2,3,3,2,3,2,1,3,2,4,1,1,0,4,3,4,3,3,2,3,3,2,3,2,1,3,2,4,1,1,0
"380","SD_2_03_W","SD_2_06_M",2,0,0,0,3,4,4,3,4,5,3,4,4,2,4,4,5,3,5,2,2,1,3,4,4,3,4,5,3,4,4,2,4,4,5,3,5,2,2,1
"381","SD_2_03_W","SD_2_07_M",2,1,1,1,4,3,3,4,3,3,4,3,2,4,2,2,3,2,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","SD_2_03_W","SD_2_08_M",2,1,1,1,4,3,3,4,3,3,3,2,2,3,2,3,4,1,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","SD_2_03_W","SD_2_09_M",2,0,0,0,3,3,3,3,3,4,3,2,2,2,3,4,4,3,3,2,1,0,3,3,3,3,3,4,3,2,2,2,3,4,4,3,3,2,1,0
"384","SD_2_03_W","SD_2_10_M",2,0,0,0,3,4,3,3,4,4,3,3,2,2,4,4,5,2,4,2,3,0,3,4,3,3,4,4,3,3,2,2,4,4,5,2,4,2,3,0
"385","SD_2_03_W","SD_2_11_M",2,0,0,0,3,4,4,3,4,4,3,4,3,2,3,4,4,3,4,2,2,1,3,4,4,3,4,4,3,4,3,2,3,4,4,3,4,2,2,1
